交易不是為了證明你有多聰明，而是為了證明你有多自律。,
錢是坐著賺來的，不是靠操作賺來的。,傑西·李佛摩 (Jesse Livermore)
市場會盡一切努力讓大多數人感到挫折。,艾德·史柯塔 (Ed Seykota)
成功的交易者不尋求刺激，他們尋求的是勝率。,亞歷山大·艾爾德 (Alexander Elder)
如果你不能掌控自己的情緒，你就無法掌控自己的金錢。,華倫·巴菲特 (Warren Buffett)
專業交易者專注於留住錢，業餘者專注於賺大錢。,馬克·米勒維尼 (Mark Minervini)
最大的敵人在你內心。,傑西·李佛摩 (Jesse Livermore)
交易就像狩獵，如果你太疲倦就無法扣動扳機。,
紀律是成功交易的基石。,威廉·歐尼爾 (William O'Neil)
恐懼與貪婪是交易者的兩大枷鎖。,
限制虧損，讓利潤奔跑。,大衛·李嘉圖 (David Ricardo)
永遠不要在虧損的倉位上加碼。,保羅·都鐸·瓊斯 (Paul Tudor Jones)
活下去才是最重要的。,喬治·索羅斯 (George Soros)
每次進場前先想好會賠多少。,
停損是你唯一的保險。,威廉·歐尼爾 (William O'Neil)
冒險的前提是你能承擔後果。,
資金管理是成功的祕訣。,萊利·威廉姆斯 (Larry Williams)
不要把所有雞蛋放在同一個籃子裡。,
小賠是為了避免大賠。,
保護你的資本就像保護你的性命。,傑西·李佛摩 (Jesse Livermore)
趨勢是你的朋友。,馬丁·茲威格 (Martin Zweig)
順勢交易，逆勢止損。,
市場永遠是對的。,傑西·李佛摩 (Jesse Livermore)
不要與市場作對。,
量行價先。,技術分析名言
買入強勢股，賣出弱勢股。,威廉·歐尼爾 (William O'Neil)
歷史總是不斷重演。,查爾斯·道 (Charles Dow)
簡單就是美。,
專注於價格行為，而非新聞。,
等待最好的進場時機。,傑西·李佛摩 (Jesse Livermore)
市場反映了所有已知資訊。,有效市場假說
牛市在絕望中誕生。,約翰·坦伯頓 (John Templeton)
價格是由恐懼與貪婪決定的。,
股市是將錢從急性子轉給耐心者的地方。,華倫·巴菲特 (Warren Buffett)
市場沒有好壞，只有漲跌。,
買入正在上漲的股票，賣出正在下跌的股票。,傑西·李佛摩
市場就像一隻大象，你無法命令它走哪，你只能跟隨它。,
如果你發現自己在洞裡，首先要做的是停止挖掘。,華倫·巴菲特
所有的資訊都在價格變動中體現了。,查爾斯道
交易不是一種愛好，而是一種嚴肅的商業行為。,亞歷山大·艾爾德
寧可錯過，不可錯做。,傳統交易格言
絕不要因為價格看起來很低就買進。,威廉·歐尼爾
最好的交易通常是那些最難下手的交易。,
市場是為了讓大多數人犯錯而設計的。,傑西·李佛摩
交易成功的一半在於了解自己。,艾德·史柯塔
不要去追逐市場，讓市場走向你。,
如果你不能承受虧損，就不要進入市場。,傳統諺語
獲利盤會照顧好自己，你只要管好你的虧損。,傑西·李佛摩
冒險不是賭博，除非你不知道自己在做什麼。,
每一筆交易都應該有其獲利風險比。,
獲利是耐心等待後的副產品。,
永遠不要讓一筆盈利的交易變成虧損。,威廉·甘恩
虧損並不可恥，可恥的是讓虧損擴大。,
當你產生懷疑時，出場觀望。,威廉·甘恩
保護本金永遠是第一要務。,喬治·索羅斯
市場比你能撐下去的時間還要久。,凱因斯
交易不是尋求真相，而是尋求利潤。,喬治·索羅斯
每一天都是新的一天，不要帶著昨天的情緒交易。,
你不需要每天交易，除非你有充分的理由。,傑西·李佛摩
成功的人從失敗中學習。,
只有傻瓜才會試圖抓住最後一分錢。,伯納德·巴魯克
讓你的系統為你工作，而不是你為系統工作。,
真正的財富是透過耐心積累的。,
股票沒有感情，不要愛上你的股票。,威廉·歐尼爾
保持簡單，保持愚蠢。,凱利·強森
預測是低級的，反應才是高級的。,
市場是人性與數字的結合。,傑西·李佛摩
自信來自於你的備案。,
不要試圖抄底，這很危險。,華爾街諺語
停損是你最好的朋友。,
交易就像呼吸，必須自然。,艾德·史柯塔
重點在於把握概率。,馬克·道格拉斯
贏家對自己負責，輸家怪罪市場。,
保持清醒的頭腦比任何技術都重要。,
休息也是交易的一部分。,傑西·李佛摩
知道何時不做交易才是真高手。,
紀律是需要每天修煉的。,
失敗是交易成本的一部分。,
相信你的直覺，但要建立在經驗之上。,
市場會告訴你何時是錯的。,傑西·李佛摩
專注於過程，而非結果。,馬克·道格拉斯
謙卑地面對市場。,
錯誤是最好的老師。,達里奧
模仿只能讓你平庸，思考才能讓你卓越。,
不要為了交易而交易。,
交易是孤獨的旅程。,
你的系統就是你的信仰。,
所有的偉大都源於微小的積累。,
戰勝市場前先戰勝自己。,
市場永遠會獎勵有備而來的人。,
活得久，賺得多。,
市場不欠你任何東西。,
所有的財富都隱藏在風險之中。,
保持飢渴，保持謙虛。,
學習在不確定性中生活。,
交易是藝術，也是科學。,
每一筆交易都是一次對心性的磨練。,
市場是人性最真實的寫照。,
不要讓一次失敗定義你。,
交易不是生活的全部。,
